15	10	E	-9002718.417558074	181
emissionprobs	1	8	H3k36me3	1	0.0452924969485254
emissionprobs	1	9	H4k20me1	0	0.583359279513499
emissionprobs	1	9	H4k20me1	1	0.416640720486501
emissionprobs	2	0	Ctcf	0	0.9535484523588865
emissionprobs	2	0	Ctcf	1	0.04645154764111351
emissionprobs	2	1	Ezh239875	0	0.9769262155523509
emissionprobs	2	1	Ezh239875	1	0.02307378444764904
emissionprobs	2	2	H2az	0	0.9998652107332423
emissionprobs	2	2	H2az	1	1.3478926675773007E-4
emissionprobs	2	3	H3k04me2	0	0.9845203444924345
emissionprobs	2	3	H3k04me2	1	0.015479655507565401
emissionprobs	2	4	H3k04me3	0	0.9998975715710545
emissionprobs	2	4	H3k04me3	1	1.024284289454626E-4
emissionprobs	2	5	H3k09ac	0	0.9573729645555337
emissionprobs	2	5	H3k09ac	1	0.042627035444466464
emissionprobs	2	6	H3k09me3	0	0.9977007508618088
emissionprobs	2	6	H3k09me3	1	0.0022992491381913067
emissionprobs	2	7	H3k27ac	0	0.9604656963972864
emissionprobs	2	7	H3k27ac	1	0.039534303602713594
emissionprobs	2	8	H3k36me3	0	0.10674303574549387
emissionprobs	2	8	H3k36me3	1	0.8932569642545062
emissionprobs	2	9	H4k20me1	0	0.3064134653513725
emissionprobs	2	9	H4k20me1	1	0.6935865346486275
emissionprobs	3	0	Ctcf	0	0.9887739114322537
emissionprobs	3	0	Ctcf	1	0.011226088567746423
emissionprobs	3	1	Ezh239875	0	0.9788387946898648
emissionprobs	3	1	Ezh239875	1	0.02116120531013526
emissionprobs	3	2	H2az	0	0.9999520211115597
emissionprobs	3	2	H2az	1	4.7978888440276426E-5
emissionprobs	3	3	H3k04me2	0	0.9994327123294731
emissionprobs	3	3	H3k04me2	1	5.672876705268955E-4
emissionprobs	3	4	H3k04me3	0	0.9999868473891873
emissionprobs	3	4	H3k04me3	1	1.315261081263695E-5
emissionprobs	3	5	H3k09ac	0	0.9803677818404045
emissionprobs	3	5	H3k09ac	1	0.019632218159595524
emissionprobs	3	6	H3k09me3	0	0.997539079729585
emissionprobs	3	6	H3k09me3	1	0.002460920270415018
